Summons Number,Plate ID,Registration State,Violation Code
540,KSC5783,PA,27
541,JYC5822,NY,24
542,HUV4804,NY,24
543,HKE5728,NY,24
544,HMF9790,NY,20
545,HXL4917,NY,20
546,HME3895,NY,20
547,GXZ7993,NY,62
548,GEK2734,NY,24
549,HFP8344,NY,24
550,GUX6210,NY,24
551,GYD6631,NY,20
552,HSA7803,NY,20
553,HBU4035,NY,20
554,HKM6794,NY,20
555,HHL9905,NY,24
556,HUW4841,NY,24
557,GXG3681,NY,24
558,GEG4072,NY,20
559,HBB4229,NY,24
560,HSZ5980,NY,24
561,HFC1692,NY,24
562,HWR8275,NY,62
563,GNT2197,NY,24
564,GRL2129,NY,24
565,GEH4949,NY,20
566,HTJ1768,NY,20
567,HXY9672,NY,24
568,HNU1294,NY,14
569,HVN7827,NY,45
570,HXA8523,NY,20
571,HXA8523,NY,45
572,HSS8249,NY,68
573,GXD2359,NY,68
574,HCY3144,NY,68
575,HXX3035,NY,24
576,HTP8107,NY,83
577,K87DYT,NJ,62
578,HRD7576,NY,24
579,GYW4432,NY,24
580,HUL4668,NY,63
581,HDF5257,NY,98
582,KMF8311,PA,46
583,HZN2032,NY,46
584,HYR4213,NY,46
585,HKU1743,NY,99
586,HDK3061,NY,20
587,KJP3368,PA,99
588,H97CPN,NJ,99
589,HYA7388,NY,20
590,HZU2260,NY,20
591,HZU2262,NY,71
592,HKE5160,NY,20
593,HJK2311,NY,14
594,GPF2335,NY,99
595,HWB4061,NY,99
596,GJM2085,NY,19
597,KFW9313,PA,40
598,HBX4860,NY,46
599,HGK5366,NY,71
600,JAD7962,NY,46
601,GDF7950,NY,98
602,HYC5818,NY,40
603,GVU6569,NY,46
604,HXS9586,NY,40
605,KLY2752,PA,40
606,HUN4224,NY,46
607,HWY5817,NY,98
608,HHY5978,NY,98
609,HYX5146,NY,98
610,HVG6939,NY,9
611,HNJ4549,NY,98
612,IGCL91,FL,98
613,HXA3379,NY,24
614,HZY1711,NY,40
615,KRK9593,PA,40
616,KNK1945,PA,98
617,HRH3781,NY,95
618,JAG2077,NY,98
619,J7879JX,NY,46
620,HVX5529,NY,20
621,GUP8142,NY,40
622,HUH4057,NY,14
623,HXK1349,NY,14
624,HKB9883,NY,98
625,HFS1513,NY,20
626,GTJ4761,NY,19
627,HSB5231,NY,40
628,KND0280,PA,46
629,JWH7972,PA,40
630,HTE2507,NY,46
631,GAC5496,NY,46
632,HNN4869,NY,98
633,HKE4437,NY,20
634,HGU3408,NY,16
635,HR4746,IN,17
636,GRT4348,NY,17
637,HLC4949,NY,20
638,HKZ3387,NY,20
639,HXC1801,PA,46
640,HLP1292,NY,46
641,GBD5910,NY,40
642,GBL7782,NY,48
643,HLF4993,NY,19
644,GDG9583,NY,20
645,HNB9946,NY,46
646,IVTU78,FL,46
647,GGZ8807,NY,98
648,HNE1727,NY,99
649,GCW475,FL,99
650,JBW1125,NY,40
651,HLZ1971,NY,20
652,G84FLY,NJ,20
653,HMF9471,NY,98
654,HZT5656,NY,98
655,HXH3246,NY,98
656,JPT0283,PA,14
657,HJR7644,NY,14
658,HMK1020,NY,71
659,HXD9945,NY,46
660,HYG7070,NY,19
661,HSC8727,NY,98
662,HNY2522,NY,46
663,HWB9105,NY,19
664,HPH7272,NY,20
665,HHU1176,NY,20
666,KLD4023,PA,46
667,HXW6734,NY,68
668,HXN1498,NY,21
669,GUG9590,NY,71
670,GDR8964,NY,98
671,HTEF52,FL,98
672,HPA3853,NY,14
673,HXS6546,NY,98
674,HSH4951,NY,98
675,KRB1951,PA,98
676,HDC7687,OH,46
677,HXW7697,NY,40
678,JTB7154,PA,40
679,GWL9882,NY,40
680,KRV4193,PA,40
681,GBC8130,NY,46
682,HKZ5729,NY,14
683,KGT7988,PA,40
684,HMN1674,NY,46
685,HYU5716,NY,98
686,HAC2527,NY,41
687,HPK2692,NY,40
688,HA6073,NC,98
689,HZL2569,NY,46
690,HZM8046,NY,46
691,HJN1161,NY,20
692,HPJ6387,NY,53
693,HSE9311,NY,98
694,GTY4437,NY,62
695,HJW1764,NY,98
696,GMZ4632,NY,51
697,HPJ3736,NY,98
698,HWZ7862,NY,46
699,HSF1516,NY,14
700,HEJ9236,NY,14
701,HZT3411,NY,46
702,HYC2099,NY,67
703,GNW6987,NY,14
704,HYT2426,NY,14
705,HPM6864,NY,46
706,HYW3485,NY,50
707,HNX8505,NY,68
708,GKZ4187,NY,98
709,HYC2027,NY,46
710,GZ544J,FL,46
711,HKR3519,NY,19
712,HZT3632,NY,19
713,HNY5575,NY,19
714,HSA2049,NY,98
715,HWS1891,NY,98
716,GUE8935,NY,98
717,GWK4918,NY,98
718,HYS3113,NY,98
719,GZT3602,NY,40
720,HHK6340,NY,20
721,HYT6223,NY,20
722,HVW2421,NY,98
723,HBB2159,NY,40
724,GJR1322,PA,98
725,GQH5851,OH,98
726,GWR4846,NY,51
727,HUX2819,NY,46
728,HWA4041,NY,14
729,KRK9593,PA,20
730,KRK9593,PA,40
731,HYR5320,NY,14
732,HNJ2874,NY,98
733,HUD5940,NY,40
734,HFP8326,NY,21
735,GMWJ26,FL,98
736,J93JSZ,NJ,40
737,HWC2346,NY,40
738,HDE5036,NY,40
739,HXU9912,NY,40
740,GDW2867,NY,19
741,GSR3057,NY,40
742,HJY5230,NY,46
743,HNN7262,NY,67
744,HWU6507,NY,21
745,KDZ1201,PA,67
746,KRL6001,PA,98
747,HYY8647,NY,46
748,GGW8038,NY,98
749,HMJ7184,NY,46
750,HMP4041,NY,20
751,GHH3766,NY,46
752,GYX6017,NY,20
753,GBN1513,NY,20
754,HSK6429,NY,20
755,HFT4697,NY,20
756,GEP6951,NY,20
757,HPW2921,NY,20
758,HVD1662,NY,20
759,GWG8744,NY,20
760,HKP9391,NY,17
761,GTR7184,NY,20
762,HVN6602,NY,40
763,HCN7852,NY,50
764,HXF3505,NY,20
765,GLH2682,NY,20
766,HZH6759,NY,98
767,GHA6479,NY,98
768,HCF4972,NY,46
769,HUH5363,NY,14
770,MFE2478,NY,98
771,MCZ5061,NY,90
772,HXL3662,NY,67
773,HYJ3890,NY,60
774,HYR6491,NY,17
775,HLA6840,NY,40
776,HNZ7868,NY,40
777,JAF1025,NY,46
778,HBY5386,NY,98
779,HYZ7300,NY,20
780,HYH1127,NY,19
781,HYH1122,NY,46
782,HYB5701,NY,14
783,JRR5550,PA,46
784,HZY6549,NY,21
785,HYB5895,NY,21
786,HXA7999,NY,21
787,HSE7276,NY,46
788,HJK7485,NY,46
789,HFA5975,NY,21
790,HTP1605,PA,14
791,HJV5859,NY,40
792,HYA6648,NY,40
793,HZP4788,NY,40
794,HLN3493,NY,19
795,GMU5414,NY,19
796,KJB8753,PA,19
797,HEH2858,NY,19
798,HXV3212,NY,98
799,HSD1075,NY,46
800,HKY7607,NY,40
801,HZU1798,NY,20
802,HEX7919,NY,71
803,HHL3725,NY,46
804,JAG6442,NY,40
805,HXS6496,NY,71
806,GRS4507,NY,98
807,HTM8212,NY,40
808,GGT5002,NY,98
809,HDE6673,NY,98
810,GVC8537,NY,98
811,HNY1145,NY,98
812,HYX329,NY,98
813,HDF4488,NY,14
814,HCU2394,NY,74
815,HVK8263,NY,51
816,HYV0731,PA,46
817,HMW2107,NY,40
818,GDP3605,NY,98
819,HDX6881,NY,98
820,HDM2720,NY,70
821,HWX5288,NY,40
822,HZM3010,NY,40
823,HCY3446,NY,14
824,GNV3382,NY,67
825,JAD4439,NY,41
826,HTJ4797,NY,98
827,GJS2717,NY,40
828,IBBX23,FL,14
829,HKB9969,NY,71
830,GTP2116,NY,27
831,GCM3466,NY,71
832,HNS4783,NY,61
833,GGW9548,NY,74
834,GFP1016,NY,68
835,HSJ1978,NY,14
836,HNE1878,NY,71
837,HJP6868,NY,20
838,HTZ4424,NY,14
839,HTZ4424,NY,14
840,HTZ4424,NY,14
841,HGU4211,NY,14
842,GQYQ20,FL,21
843,HTZ4424,NY,14
844,KHE7756,PA,19
845,GWT1101,NY,14
846,GZL2991,OH,17
847,GLV9468,NY,71
848,HPN1743,NY,20
849,KRG5438,PA,20
850,HPB4960,NY,17
851,GM61H,NY,14
852,KNK710C,NY,14
853,HMK5830,NY,20
854,HDK1962,NY,17
855,GVL4174,NY,17
856,HHB6781,NY,70
857,HPB3016,NY,20
858,HYV5504,NY,20
859,HNR1655,NY,71
860,HDZ8087,NY,71
861,GPN8195,NY,98
862,HHN3714,NY,98
863,HNJ4663,NY,74
864,HTID21,FL,98
865,JBG7679,NY,46
866,HMY3836,NY,19
867,HZY8054,NY,74
868,HXV2450,NY,98
869,HZP5751,NY,46
870,HDD2665,NY,19
871,HLD3757,NY,85
872,HMY3608,NY,46
873,HLC1421,NY,98
874,KPL4963,NY,98
875,GDP3214,NY,98
876,HHG7228,NY,98
877,HSW5314,NY,46
878,HAL7087,NY,51
879,GJN2640,NY,67
880,HNP3209,NY,98
881,HXA8617,NY,46
882,IATD45,NY,40
883,HND6336,NY,98
884,HCY3540,NY,40
885,HUY3540,NY,46
886,HKZ4941,NY,71
887,HSB4669,NY,71
888,HFF8362,NY,71
889,HYX8553,NY,98
890,HPZ3592,NY,98
891,HEB6844,NY,98
892,HLD3757,NY,71
893,GZE8298,NY,46
894,HXA2698,NY,14
895,HYX8601,NY,98
896,HWDP,NY,51
897,GZE1845,NY,46
898,GDR8977,NY,17
899,HJZ114,NY,19
900,KRM3555,PA,20
901,HXA7807,NY,98
902,HKM5606,NY,20
903,HYX3025,NY,40
904,HUC6127,NY,46
905,HGF7161,NY,98
906,HKM6930,NY,98
907,HGL3574,NY,98
908,HFH2664,NY,98
909,GYD4208,NY,98
910,GRP4297,NY,48
911,HJR7118,NY,50
912,HJR7118,NY,71
913,HZE1778,NY,98
914,HXS6793,NY,98
915,HSH1383,NY,98
916,GTB2216,NY,51
917,HUH4035,NY,98
918,HFY1633,NY,17
919,HRR1124,NY,20
920,HSD6507,NY,14
921,HHU5368,NY,14
922,HFS7904,NY,24
923,HMP2072,NY,20
924,HMR2176,NY,20
925,JTJ3254,TX,53
926,KPF1704,PA,91
927,HUH7437,NY,14
928,HUH9890,NY,14
929,HNZ6737,NY,53
930,HGK4235,NY,71
931,HYJ7313,NY,14
932,HAS4621,NY,14
933,HDG7198,NY,14
934,HWY5236,NY,14
935,GXU7140,NY,20
936,HPZ4250,NY,46
937,HUV4496,NY,98
938,HGLG58,FL,98
939,GXB2656,NY,40
940,KRD5250,PA,98
941,HZT6703,NY,98
942,GXB2656,NY,40
943,GDR7011,NY,40
944,HZT6714,NY,21
945,GKJ8363,NY,14
946,HNC7841,NY,40
947,JAL1098,NY,46
948,HMM1327,NY,21
949,HXY3666,NY,98
950,GXY4283,PA,98
951,HET1961,NY,20
952,H22JVT,NJ,46
953,HGR6650,NY,46
954,HWX5022,NY,14
955,JAU2118,NY,46
956,HBB3164,NY,46
957,JAU2118,NY,70
958,HTE2469,NY,40
959,HRU7233,NY,67
960,HSF3939,NY,40
961,HXH2380,NY,46
962,HJD1130,OH,20
963,HES8770,NY,20
964,HNY3603,NY,98
965,HYK8576,TX,16
966,GEH9729,NY,20
967,HUV4279,NY,19
968,JAA1613,NY,40
969,HES4206,NY,46
970,G93JTM,NJ,21
971,HJV7927,NY,46
972,HJP3036,NY,98
973,GDA3301,NY,46
974,HHL4122,NY,46
975,HYC6896,NY,46
976,HDT1229,NY,20
977,HGK3947,NY,20
978,HSW5054,NY,20
979,HZL5156,NY,40
980,HJW5636,NY,40
981,HTD2924,NY,40
982,KDF4557,PA,98
983,HGF8832,NY,98
984,HMK6090,NY,98
985,GFV2341,NY,71
986,GCRZ864,NY,46
987,KBL0661,PA,46
988,HCL2057,NY,40
989,HWY2387,NY,40
990,HMJ7359,PA,98
991,HZH4450,NY,40
992,HFB1187,NY,46
993,HZR8821,NY,40
994,HRU6151,NY,98
995,GYJ4191,NY,40
996,HJV1369,NY,63
997,JXS5931,PA,63
998,GXJ1094,NY,63
999,HWK1039,NY,45
1000,HSM2786,NY,40
1001,HXK2575,NY,98
1002,HZT5506,NY,75
1003,GLR900,NY,40
1004,GST3649,NY,40
1005,HUH4533,NY,98
1006,KDK9593,PA,20
1007,HKWE85,FL,40
1008,HRM6462,NY,40
1009,HUJ9817,NY,40
1010,HXA8500,NY,40
1011,HNY5490,NY,20
1012,HXZ7732,NY,98
1013,HRA6888,NY,40
1014,JPY4661,PA,40
1015,JRM4233,PA,24
1016,HUG6939,NY,46
1017,HMU9639,NY,98
1018,JRX6230,PA,40
1019,KDX1452,PA,21
1020,GFC6839,NY,21
1021,HPU5706,NY,98
1022,GUZ1943,NY,46
1023,HVM6782,NY,98
1024,HXU5858,NY,20
1025,GSV8704,NY,20
1026,HJD2885,NY,19
1027,HYB2402,NY,98
1028,HLB8254,NY,40
1029,HBE7390,NY,98
1030,HVF4546,NY,14
1031,HYR1609,NY,46
1032,GVA6512,NY,46
1033,IRI0359,AL,14
1034,J28JJU,NY,14
1035,GTE8562,NY,98
1036,HTE2097,NY,10
1037,HRK6212,NY,40
1038,HPM9774,NY,40
1039,GXR2839,NY,46
1040,HVX1703,NY,46
1041,HDXY24,NJ,46
1042,ITHJ53,FL,19
1043,KMN0645,PA,40
1044,JPV8688,PA,21
1045,HDD2590,NY,14
1046,HLE8697,NY,14
1047,HEJ4630,NY,14
1048,GULW56,FL,17
1049,HWP8223,NY,20
1050,GBE783,VT,20
1051,HJL8232,NY,40
1052,HCY3513,NY,40
1053,HHUD50N1,NY,40
1054,HPG9467,NY,40
1055,GSC2307,NY,20
1056,HKT4921,NY,20
1057,KAE3136,PA,31
1058,HKP5316,NY,20
1059,JXPP70,FL,19
1060,L58JJY,NJ,20
1061,GJS5101,NY,98
1062,HWF2981,NY,98
1063,HAB2622,NY,46
1064,KNE3678,PA,98
1065,HMJ7710,NY,20
1066,HXS6997,NY,14
1067,GKP7643,NY,40
1068,HTD2968,NY,98
1069,HZG7696,NY,5
1070,GAJ8645,OH,98
1071,JAA7849,NY,98
1072,HWS1865,NY,98
1073,HSA2705,NY,98
1074,HHY5308,NY,98
1075,HPP7708,NY,41
1076,GFW7234,NY,98
1077,HMM2662,NY,98
1078,HPB8293,NY,98
1079,GLH6526,NY,98
1080,HZJ9005,NY,46
1081,HRC8456,NY,40
1082,GVR3601,NY,98
1083,HJL4312,NY,98
1084,HCZ7620,NY,67
1085,HLC4860,NY,98
1086,HUZ2837,NY,63
1087,HRC7466,PA,98
1088,HTM8252,NY,98
1089,GXS7812,NY,98
1090,GTC4713,NY,98
1091,HSD3047,NY,98
1092,MVVXIOS,NY,51
1093,GTB7228,NY,98
1094,HVW9513,NY,19
1095,KRJ4759,PA,98
1096,JAD8537,NY,14
1097,KNF4695,PA,40
1098,GBU1494,NY,46
1099,HUJ8025,NY,20
1100,HTE1775,NY,14
1101,HND7927,NY,98
1102,HYT5252,NY,98
1103,GHM4514,NY,98
1104,HZE1286,NY,98
1105,JAD5829,NY,98
1106,HUG6360,NY,98
1107,HGM7977,PA,98
1108,GL12HO,GA,98
1109,HXE7787,NY,51
1110,HXE7787,NY,74
1111,HJG7250,NY,98
1112,HTE2235,NY,98
1113,KNE3678,NY,98
1114,HRJ7444,NY,17
1115,HBE8854,NY,20
1116,KNS2925,PA,40
1117,GLR9947,NY,21
1118,HZK9214,NY,21
1119,HBR4483,NY,21
1120,HLW8169,NY,21
1121,GRISHAJ,NY,21
1122,GEX3608,NY,21
1123,GSR4107,NY,21
1124,HJV6048,NY,21
1125,HSK4852,NY,21
1126,GZF7514,NY,21
1127,HSD4057,NY,21
1128,KTF1209,PA,21
1129,HRU6335,NY,21
1130,HHM2487,NY,21
1131,HNJ5424,NY,21
1132,HZD7040,NY,41
1133,HUC9826,NY,21
1134,HKT1077,NY,21
1135,HSL4883,NY,21
1136,HUJ3739,NY,21
1137,HAA9802,NY,21
1138,GWU3878,NY,21
1139,GGB4796,NY,21
1140,KPK1493,NY,21
1141,GCF7907,NY,21
1142,HXE2733,NY,21
1143,GDR7368,NY,40
1144,HSH4567,NY,46
1145,HWW1294,NY,50
1146,HUW4497,NY,51
1147,HUW4641,NY,51
1148,HFXR74,FL,46
1149,HRF4865,NY,46
1150,HGJ281,SC,19
1151,JXZ1837,PA,46
1152,HGJ281,SC,40
1153,HWF7172,NY,40
